Model,Manufacturer,Dimensions,Cooling,PreviewImg,Price
h100i,Corsair,240mm,Liquid,https://www.corsair.com/medias/sys_master/images/images/h4a/hd2/8839007174686/-CW-9060025-WW-Gallery-H100i-v2-01.png,$150
Hyper 212x,Cooler Master,,Air,https://assets.umart.com.au/newsite/images/201702/source_img/24202_G_1487561918106.jpg,$50
TH360,Thermaltake,360mm,Liquid,https://cdn.mwave.com.au/images/400/thermaltake_th360_argb_sync_aio_liquid_cpu_cooler_ac37605_1.jpg,$200
