Manufacturer,Dimensions,PreviewImg,Model,Price
Corsair,120mm,https://assets.umart.com.au/dbs/images/products/35823.jpg,ML120,$50
Cooler Master ,120mm,https://s3-eu-west-1.amazonaws.com/cdn.coolermaster.com/assets/1083/120a_01-hover.png,MF120,$40
Corsair,120mm,https://cdn1.centrecom.com.au/images/upload/0060025_0.jpeg,AF120,$40
